,track_id,analysis_url,track_href,type,uri
0,6tewlP12DteyK9l7N0obC6,https://api.spotify.com/v1/audio-analysis/6tewlP12DteyK9l7N0obC6,https://api.spotify.com/v1/tracks/6tewlP12DteyK9l7N0obC6,audio_features,spotify:track:6tewlP12DteyK9l7N0obC6
1,5zd1UPKRyOVFUpVCBwH2ot,https://api.spotify.com/v1/audio-analysis/5zd1UPKRyOVFUpVCBwH2ot,https://api.spotify.com/v1/tracks/5zd1UPKRyOVFUpVCBwH2ot,audio_features,spotify:track:5zd1UPKRyOVFUpVCBwH2ot
2,1Ul6aOajjwkm4Gpncei7N3,https://api.spotify.com/v1/audio-analysis/1Ul6aOajjwkm4Gpncei7N3,https://api.spotify.com/v1/tracks/1Ul6aOajjwkm4Gpncei7N3,audio_features,spotify:track:1Ul6aOajjwkm4Gpncei7N3
3,565FReKHXs16ki0nlmJrsB,https://api.spotify.com/v1/audio-analysis/565FReKHXs16ki0nlmJrsB,https://api.spotify.com/v1/tracks/565FReKHXs16ki0nlmJrsB,audio_features,spotify:track:565FReKHXs16ki0nlmJrsB
4,7atiIWXBaeA5oYelLxqTZV,https://api.spotify.com/v1/audio-analysis/7atiIWXBaeA5oYelLxqTZV,https://api.spotify.com/v1/tracks/7atiIWXBaeA5oYelLxqTZV,audio_features,spotify:track:7atiIWXBaeA5oYelLxqTZV
5,5lFQK0Ya7KfQDtkAGME2bE,https://api.spotify.com/v1/audio-analysis/5lFQK0Ya7KfQDtkAGME2bE,https://api.spotify.com/v1/tracks/5lFQK0Ya7KfQDtkAGME2bE,audio_features,spotify:track:5lFQK0Ya7KfQDtkAGME2bE
6,2Ffh9gFmttgJ0TYP7UNdSB,https://api.spotify.com/v1/audio-analysis/2Ffh9gFmttgJ0TYP7UNdSB,https://api.spotify.com/v1/tracks/2Ffh9gFmttgJ0TYP7UNdSB,audio_features,spotify:track:2Ffh9gFmttgJ0TYP7UNdSB
7,6Qrj52Q2kdbpYwkZMwUsaX,https://api.spotify.com/v1/audio-analysis/6Qrj52Q2kdbpYwkZMwUsaX,https://api.spotify.com/v1/tracks/6Qrj52Q2kdbpYwkZMwUsaX,audio_features,spotify:track:6Qrj52Q2kdbpYwkZMwUsaX
8,3YoNGxrcH6ym5bTkFcXZMj,https://api.spotify.com/v1/audio-analysis/3YoNGxrcH6ym5bTkFcXZMj,https://api.spotify.com/v1/tracks/3YoNGxrcH6ym5bTkFcXZMj,audio_features,spotify:track:3YoNGxrcH6ym5bTkFcXZMj
9,10BffIiNRV5tXs37BtsGpc,https://api.spotify.com/v1/audio-analysis/10BffIiNRV5tXs37BtsGpc,https://api.spotify.com/v1/tracks/10BffIiNRV5tXs37BtsGpc,audio_features,spotify:track:10BffIiNRV5tXs37BtsGpc
10,2Z8o80KQFYeuNha6SNZHfT,https://api.spotify.com/v1/audio-analysis/2Z8o80KQFYeuNha6SNZHfT,https://api.spotify.com/v1/tracks/2Z8o80KQFYeuNha6SNZHfT,audio_features,spotify:track:2Z8o80KQFYeuNha6SNZHfT
11,3UQT0TU0aixSBHlbZkQByq,https://api.spotify.com/v1/audio-analysis/3UQT0TU0aixSBHlbZkQByq,https://api.spotify.com/v1/tracks/3UQT0TU0aixSBHlbZkQByq,audio_features,spotify:track:3UQT0TU0aixSBHlbZkQByq
12,13AlKOpbAQrrnSxYJT5NGJ,https://api.spotify.com/v1/audio-analysis/13AlKOpbAQrrnSxYJT5NGJ,https://api.spotify.com/v1/tracks/13AlKOpbAQrrnSxYJT5NGJ,audio_features,spotify:track:13AlKOpbAQrrnSxYJT5NGJ
13,6X5BGejEP64jiEDDxOSSPT,https://api.spotify.com/v1/audio-analysis/6X5BGejEP64jiEDDxOSSPT,https://api.spotify.com/v1/tracks/6X5BGejEP64jiEDDxOSSPT,audio_features,spotify:track:6X5BGejEP64jiEDDxOSSPT
14,2DtPmso7o1vcAhZsZvQRQl,https://api.spotify.com/v1/audio-analysis/2DtPmso7o1vcAhZsZvQRQl,https://api.spotify.com/v1/tracks/2DtPmso7o1vcAhZsZvQRQl,audio_features,spotify:track:2DtPmso7o1vcAhZsZvQRQl
15,2PuFIiz8szFiiZMaz6aKvV,https://api.spotify.com/v1/audio-analysis/2PuFIiz8szFiiZMaz6aKvV,https://api.spotify.com/v1/tracks/2PuFIiz8szFiiZMaz6aKvV,audio_features,spotify:track:2PuFIiz8szFiiZMaz6aKvV
16,3ax8V4AAuHaOMs19VQTa0t,https://api.spotify.com/v1/audio-analysis/3ax8V4AAuHaOMs19VQTa0t,https://api.spotify.com/v1/tracks/3ax8V4AAuHaOMs19VQTa0t,audio_features,spotify:track:3ax8V4AAuHaOMs19VQTa0t
